YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,16,5,UA,523,N825UA,DFW,DEN,1315,1312,-3,14,1326,130,113,91,641,1357,8,1425,1405,-20,0,0,,,,,,
2015,9,5,6,OO,4608,N630SK,PDX,SEA,917,928,11,22,950,54,66,36,129,1026,8,1011,1034,23,0,0,,12,0,0,11,0
2015,11,2,1,AA,566,N537UW,SEA,PHX,1125,1121,-4,26,1147,169,177,147,1107,1514,4,1514,1518,4,0,0,,,,,,
2015,2,16,1,DL,1441,N952DN,ATL,CLT,2145,2218,33,49,2307,70,127,70,226,17,8,2255,25,90,0,0,,57,0,26,7,0
2015,12,15,2,AA,1412,N4XKAA,ONT,DFW,700,657,-3,12,709,180,158,136,1188,1125,10,1200,1135,-25,0,0,,,,,,
2015,10,26,1,DL,1547,N667DN,11433,13342,1550,1548,-2,16,1604,69,65,43,237,1547,6,1559,1553,-6,0,0,,,,,,
2015,7,29,3,NK,816,N532NK,MCI,DTW,1205,1204,-1,9,1213,114,119,98,629,1451,12,1459,1503,4,0,0,,,,,,
2015,7,3,5,B6,251,N652JB,BOS,MCO,940,1020,40,16,1036,183,174,152,1121,1308,6,1243,1314,31,0,0,,0,0,0,31,0
2015,2,1,7,EV,4704,N22971,IAH,CHS,1033,1030,-3,11,1041,138,127,112,925,1333,4,1351,1337,-14,0,0,,,,,,
2015,3,14,6,MQ,3535,N845MQ,JFK,CMH,1850,1911,21,14,1925,109,100,82,483,2047,4,2039,2051,12,0,0,,,,,,
2015,2,11,3,WN,317,N217JC,OAK,PHX,2055,2052,-3,11,2103,110,105,91,646,2334,3,2345,2337,-8,0,0,,,,,,
2015,6,13,6,DL,330,N956DL,DCA,ATL,1259,1308,9,17,1325,114,97,76,547,1441,4,1453,1445,-8,0,0,,,,,,
2015,8,4,2,UA,297,N550UA,LAX,LIH,840,839,-1,22,901,358,348,320,2615,1121,6,1138,1127,-11,0,0,,,,,,
2015,9,21,1,WN,463,N227WN,MCO,ATL,1015,1011,-4,14,1025,95,79,59,404,1124,6,1150,1130,-20,0,0,,,,,,
2015,11,20,5,WN,2197,N8644C,DEN,IND,2020,2014,-6,35,2049,140,150,108,977,37,7,40,44,4,0,0,,,,,,
2015,11,18,3,MQ,3087,N815MQ,MHK,DFW,1100,1055,-5,6,1101,99,76,65,431,1206,5,1239,1211,-28,0,0,,,,,,
2015,8,26,3,EV,2671,N901EV,DFW,FSM,1640,1642,2,15,1657,63,73,54,227,1751,4,1743,1755,12,0,0,,,,,,
2015,5,6,3,WN,2863,N7711N,LAS,BUR,735,727,-8,11,738,60,58,44,223,822,3,835,825,-10,0,0,,,,,,
2015,5,10,7,DL,2009,N931DN,MSP,DEN,1738,1737,-1,15,1752,128,129,108,680,1840,6,1846,1846,0,0,0,,,,,,
2015,8,1,6,AA,2315,N5CHAA,MIA,MCO,1710,1820,70,17,1837,70,77,40,192,1917,20,1820,1937,77,0,0,,7,0,59,11,0
2015,4,24,5,B6,615,N943JB,JFK,SFO,930,920,-10,23,943,401,397,360,2586,1243,14,1311,1257,-14,0,0,,,,,,
2015,7,11,6,EV,4702,N14562,ORD,CLT,1737,1733,-4,14,1747,126,115,93,599,2020,8,2043,2028,-15,0,0,,,,,,
2015,4,24,5,WN,3030,N373SW,ONT,SJC,1225,1251,26,10,1301,65,68,55,333,1356,3,1330,1359,29,0,0,,3,0,11,15,0
2015,1,14,3,US,448,N186US,SLC,CLT,30,27,-3,11,38,225,229,212,1727,610,6,615,616,1,0,0,,,,,,
2015,10,18,7,OO,7396,N601XJ,15389,14869,620,619,-1,13,632,52,50,31,175,703,6,712,709,-3,0,0,,,,,,
2015,10,19,1,WN,431,N389SW,14869,12892,2015,2015,0,19,2034,115,116,91,590,2105,6,2110,2111,1,0,0,,,,,,
2015,1,18,7,AA,2494,N3HMAA,SJU,MIA,1550,1544,-6,12,1556,180,169,150,1045,1726,7,1750,1733,-17,0,0,,,,,,
2015,12,8,2,DL,2489,N371NB,PHL,DTW,545,544,-1,9,553,105,87,71,453,704,7,730,711,-19,0,0,,,,,,
2015,8,28,5,UA,1961,N62849,DEN,ORD,1005,1042,37,14,1056,145,141,109,888,1345,18,1330,1403,33,0,0,,0,0,2,31,0
2015,9,18,5,AA,1829,N109UW,IAH,CLT,1340,1351,11,12,1403,149,141,120,912,1703,9,1709,1712,3,0,0,,,,,,
2015,1,14,3,WN,344,N8309C,SAN,PHX,1430,1428,-2,11,1439,70,73,50,304,1629,12,1640,1641,1,0,0,,,,,,
2015,9,9,3,UA,324,N453UA,IAH,SJC,907,903,-4,20,923,249,238,215,1608,1058,3,1116,1101,-15,0,0,,,,,,
2015,9,24,4,OO,2973,N875AS,PHX,YUM,2135,2124,-11,15,2139,56,50,32,160,2211,3,2231,2214,-17,0,0,,,,,,
2015,2,22,7,AA,1297,N3CYAA,LGA,MIA,600,,,,,193,,,1096,,,913,,,0,1,B,,,,,
2015,10,1,4,AA,1705,N125UW,14122,14100,1825,1915,50,26,1941,86,98,63,268,2044,9,1951,2053,62,0,0,,62,0,0,0,0
2015,2,21,6,US,1702,N559UW,PHL,FLL,1750,2040,170,90,2210,178,234,141,992,31,3,2048,34,226,0,0,,56,0,0,0,170
2015,3,1,7,MQ,3143,N849MQ,JAN,DFW,600,,,,,100,,,408,,,740,,,0,1,B,,,,,
